date;India;US;Spain;Germany;France
2020-01-22;0;1;0;0;0
2020-01-23;0;1;0;0;0
2020-01-24;0;2;0;0;2
2020-01-25;0;2;0;0;3
2020-01-26;0;5;0;0;3
2020-01-27;0;5;0;1;3
2020-01-28;0;5;0;4;4
2020-01-29;0;6;0;4;5
2020-01-30;1;6;0;4;5
2020-01-31;1;8;0;5;5
2020-02-01;1;8;1;8;6
2020-02-02;2;8;1;10;6
2020-02-03;3;11;1;12;6
2020-02-04;3;11;1;12;6
2020-02-05;3;11;1;12;6
2020-02-06;3;12;1;12;6
2020-02-07;3;12;1;13;6
2020-02-08;3;12;1;13;11
2020-02-09;3;12;2;14;11
2020-02-10;3;12;2;14;11
2020-02-11;3;13;2;16;11
2020-02-12;3;13;2;16;11
2020-02-13;3;14;2;16;11
2020-02-14;3;14;2;16;11
2020-02-15;3;14;2;16;12
2020-02-16;3;14;2;16;12
2020-02-17;3;14;2;16;12
2020-02-18;3;14;2;16;12
2020-02-19;3;14;2;16;12
2020-02-20;3;14;2;16;12
2020-02-21;3;16;2;16;12
2020-02-22;3;16;2;16;12
2020-02-23;3;16;2;16;12
2020-02-24;3;16;2;16;12
2020-02-25;3;16;6;16;14
2020-02-26;3;16;13;21;18
2020-02-27;3;17;15;26;38
2020-02-28;3;17;32;53;57
2020-02-29;3;25;45;66;100
2020-03-01;3;32;84;117;130
2020-03-02;5;55;120;150;191
2020-03-03;5;74;165;188;212
2020-03-04;28;107;222;240;288
2020-03-05;30;184;259;349;426
2020-03-06;31;237;400;534;616
2020-03-07;34;403;500;684;948
2020-03-08;39;519;673;847;1125
2020-03-09;43;594;1073;1112;1411
2020-03-10;56;782;1695;1296;1783
2020-03-11;62;1147;2277;1567;2293
2020-03-12;73;1586;2277;2369;2293
2020-03-13;82;2219;5232;3062;3681
2020-03-14;102;2978;6391;3795;4496
2020-03-15;113;3212;7798;4838;4532
2020-03-16;119;4679;9942;6012;6683
2020-03-17;142;6512;11748;7156;7715
2020-03-18;156;9169;13910;8198;9124
2020-03-19;194;13663;17963;10999;10970
2020-03-20;244;20030;20410;13957;12758
2020-03-21;330;26025;25374;16662;14463
2020-03-22;396;34944;28768;18610;16761
2020-03-23;499;46096;35136;22672;20120
2020-03-24;536;56714;39885;27436;22372
2020-03-25;657;68841;49515;31554;25331
2020-03-26;727;86662;57786;36508;29252
2020-03-27;887;105253;65719;42288;33045
2020-03-28;987;127417;73235;48582;37693
2020-03-29;1024;143544;80110;52547;40296
2020-03-30;1251;165698;87956;57298;44645
2020-03-31;1397;192079;95923;61913;52281
2020-04-01;1998;223254;104118;67366;57125
2020-04-02;2543;255530;112065;73522;59227
2020-04-03;2567;287931;119199;79696;64452
2020-04-04;3082;319776;126168;85778;47376
2020-04-05;3588;349016;131646;91714;48225
2020-04-06;4778;380798;136675;95391;50884
2020-04-07;5311;410834;141942;99225;47395
2020-04-08;5916;441897;148220;103228;51250
2020-04-09;6725;477507;153222;108202;55034
2020-04-10;7598;511790;158273;113525;56600
2020-04-11;8446;540714;163027;117658;58045
2020-04-12;9205;567022;166831;120479;108792
2020-04-13;10453;594165;170099;123016;111933
2020-04-14;11487;622493;172541;125098;129381
2020-04-15;12322;648390;177644;127584;132588
2020-04-16;13430;678028;184948;130450;145166
2020-04-17;14352;711135;190839;133830;147057
2020-04-18;15722;738464;191726;137439;150861
2020-04-19;17615;763886;198674;139897;151955
2020-04-20;18539;793970;200210;141672;154402
2020-04-21;20080;820045;204178;143457;157068
2020-04-22;21370;849926;208389;145694;158867
2020-04-23;23077;881891;213024;148046;157158
2020-04-24;24530;913856;202990;150383;159969
2020-04-25;26283;944770;205905;152438;161647
2020-04-26;27890;970741;207634;154175;162280
2020-04-27;29451;995391;209465;155193;165966
2020-04-28;31324;1019964;210773;156337;169098
2020-04-29;33062;1046816;212917;157641;167643
2020-04-30;34863;1076518;213435;159119;168861
2020-05-01;37257;1111410;215216;160758;169387
2020-05-02;39699;1138174;216582;161703;170179
2020-05-03;42505;1161907;217466;162496;170540
2020-05-04;46437;1185709;218011;163175;171102
2020-05-05;49400;1209729;219329;163860;172219
2020-05-06;52987;1234211;220325;164807;176355
2020-05-07;56351;1261950;221447;166091;177096
2020-05-08;59695;1289133;222857;167300;177627
2020-05-09;62808;1313587;223578;168551;178155
2020-05-10;67161;1332334;224350;169218;178404
2020-05-11;70768;1351411;227436;169575;178719
2020-05-12;74292;1374792;228030;170508;179472
2020-05-13;78055;1394807;228691;171306;179993
2020-05-14;81997;1420697;229540;172239;180635
2020-05-15;85784;1445548;230183;173152;181148
2020-05-16;90648;1469598;230698;173772;181563
2020-05-17;95698;1488327;230698;174355;181703
2020-05-18;100328;1510635;231606;174697;182147
2020-05-19;106475;1531138;232037;175210;182648
2020-05-20;112028;1553966;232555;176007;183129
2020-05-21;118226;1579118;233037;176752;183396
2020-05-22;124794;1602947;234824;177212;184152
2020-05-23;131423;1623136;235290;177850;184698
2020-05-24;138536;1643310;235772;178281;184259
2020-05-25;144950;1662404;235400;178570;184584
2020-05-26;150793;1681130;236259;179002;184839
2020-05-27;158086;1699893;236259;179364;185012
2020-05-28;165386;1721160;237906;179717;188355
2020-05-29;173491;1746242;238564;180458;188949
2020-05-30;181827;1769322;239228;181196;190743
2020-05-31;190609;1788241;239479;181482;190975
2020-06-01;198370;1806081;239638;181815;191382
2020-06-02;207191;1826171;239932;182028;190735
2020-06-03;216824;1845327;240326;182370;187509
2020-06-04;226713;1873261;240660;182764;191869
2020-06-05;236184;1899701;240978;183271;192450
2020-06-06;246622;1919970;241310;183678;193022
2020-06-07;257486;1937796;241550;183979;193363
2020-06-08;265928;1954696;241717;184193;193637
2020-06-09;276146;1975017;241966;184543;194190
2020-06-10;286605;1996735;242280;184861;194815
2020-06-11;297535;2019013;242707;185416;195179
2020-06-12;308993;2044571;243209;185674;195980
2020-06-13;320922;2068728;243605;186022;196477
2020-06-14;332424;2087629;243928;186269;196867
2020-06-15;343091;2108628;244109;186461;197003
2020-06-16;354065;2133177;244328;186839;197666
2020-06-17;366946;2160227;244683;187184;198155
2020-06-18;380532;2188454;245268;187764;198741
2020-06-19;395048;2219508;245575;188534;199528
2020-06-20;410451;2251334;245938;189135;200147
2020-06-21;425282;2277170;246272;189822;200490
2020-06-22;440215;2306971;246504;190359;200632
2020-06-23;456183;2345700;246752;190862;201330
2020-06-24;473105;2381951;247086;191449;201598
2020-06-25;490401;2421250;247486;192079;201853
2020-06-26;508953;2470296;247905;192556;203116
2020-06-27;528859;2511050;248469;193243;203564
2020-06-28;548318;2553975;248770;193499;203157
2020-06-29;566840;2595272;248970;193761;203802
2020-06-30;585481;2645097;249271;194259;204244
2020-07-01;604641;2694220;249659;194725;205234
2020-07-02;625544;2749163;250103;195228;205773
2020-07-03;648315;2800668;250545;195674;206312
2020-07-04;673165;2846614;250545;196096;206670
2020-07-05;697413;2900342;250545;196335;206682
2020-07-06;719664;2943508;251789;196554;207700
2020-07-07;742417;3000739;252130;196944;208154
2020-07-08;767296;3061045;252513;197341;208976
2020-07-09;793802;3120701;253056;197783;209420
2020-07-10;820916;3189561;253908;198178;210135
2020-07-11;849522;3250000;253908;198556;210386
2020-07-12;878254;3310132;253908;198804;210402
2020-07-13;906752;3369496;255953;198963;211825
2020-07-14;936181;3435158;256619;199375;211887
2020-07-15;968857;3501184;257494;199726;212614
2020-07-16;1003832;3571998;258855;200260;213183
2020-07-17;1039084;3638470;260255;200843;214009
2020-07-18;1077781;3702792;260255;201372;214174
2020-07-19;1118206;3761724;260255;201574;214178
2020-07-20;1155338;3822387;264836;201823;216089
2020-07-21;1193078;3890581;266194;202345;216684
2020-07-22;1238798;3958126;267551;202799;217605
2020-07-23;1288108;4026012;270166;203368;218841
2020-07-24;1337024;4101159;272421;204183;219932
2020-07-25;1385635;4165359;272421;204964;220016
2020-07-26;1435616;4221198;272421;205269;220020
2020-07-27;1480073;4280922;278782;205609;222508
2020-07-28;1531669;4345753;280610;206242;223072
2020-07-29;1581963;4409882;282641;206926;224542
2020-07-30;1634746;4479123;285430;207828;225936
2020-07-31;1695988;4543699;288522;208698;227239
2020-08-01;1750723;4601277;288522;209653;227301
2020-08-02;1803695;4648386;288522;209893;227304
2020-08-03;1855745;4690070;297054;210402;230665
2020-08-04;1908254;4751727;302814;211281;231636
2020-08-05;1964536;4806075;305767;212022;233344
2020-08-06;2027074;4866254;309855;213067;234945
2020-08-07;2088611;4926841;314362;214214;237332
2020-08-08;2153010;4990774;314362;215336;237402
2020-08-09;2215074;5045041;314362;215891;237408
2020-08-10;2268675;5096658;322980;216327;242168
2020-08-11;2329638;5153612;326612;217293;243576
2020-08-12;2396637;5208856;329784;218519;246180
2020-08-13;2461190;5260512;337334;219964;248850
2020-08-14;2525922;5330637;342813;221413;251764
2020-08-15;2589952;5383031;342813;222828;254974
2020-08-16;2647663;5417693;342813;223453;257994
2020-08-17;2702681;5455542;359082;224014;258629
2020-08-18;2767253;5500444;364196;225404;260748
2020-08-19;2836925;5546328;370867;226914;264535
2020-08-20;2905825;5591456;377906;228621;269335
2020-08-21;2975701;5639047;386054;230048;274289
2020-08-22;3044940;5684719;386054;232082;277763
2020-08-23;3106348;5716630;386054;232864;282498
2020-08-24;3167323;5750553;405436;233575;284474
2020-08-25;3224547;5793226;412553;234853;288067
2020-08-26;3310234;5835299;419849;236429;288354
